92;0;327;2021-10-01;Avenue de l’Espérance, 1, 6220 Fleurus;DONE;"Réglage vitesses
Réglage freins
Pression pneus
Réglage jeu direction
Vérif complète";;2021-10-01 00:00:00;2;2021-10-04 16:02:03;2021-10-01 00:00:00;0;0;0;2021-10-04 16:02:03;2021-10-04 16:02:03
93;0;327;2022-06-21;;AUTOMATICALY_PLANNED;;NULL;NULL;3;NULL;NULL;0;0;0;2020-10-11 16:37:27;2020-10-11 16:37:27
94;0;327;2023-03-21;;AUTOMATICALY_PLANNED;;NULL;NULL;4;NULL;NULL;0;0;0;2020-10-11 16:37:27;2020-10-11 16:37:27
95;0;160;2020-12-03;;DONE;;NULL;NULL;1;NULL;NULL;0;0;0;2020-12-09 08:13:32;2020-12-09 08:13:32
96;0;160;2021-08-31;Avenue de l’Espérance, 1, 6220 Fleurus;DONE;"Check complet
réglage vitesses";;2021-08-31 00:00:00;2;2021-10-04 16:15:30;2021-08-31 00:00:00;0;0;0;2021-10-04 16:15:30;2021-10-04 16:15:30
97;0;160;2022-06-21;;AUTOMATICALY_PLANNED;;NULL;NULL;3;NULL;NULL;0;0;0;2020-10-11 16:37:49;2020-10-11 16:37:49
98;0;160;2023-03-21;;AUTOMATICALY_PLANNED;;NULL;NULL;4;NULL;NULL;0;0;0;2020-10-11 16:37:49;2020-10-11 16:37:49
99;0;292;2021-05-12;;DONE;"Pression pneus
Nettoyage vélo
Réglage freins
vérification éléments de sécurité
essai vélo";Prendre panneaux à coller pour bornes;2021-05-12 00:00:00;1;2021-05-26 15:29:45;2021-05-12 00:00:00;0;0;0;2021-05-26 15:29:45;2021-05-26 15:29:45
100;0;292;2021-08-17;;DONE;"Check complet
pression pneus
réglage freins";;2021-08-17 00:00:00;2;2021-10-06 16:48:32;2021-08-17 00:00:00;0;0;0;2021-10-06 16:48:32;2021-10-06 16:48:32
101;0;292;2022-08-01;;AUTOMATICALY_PLANNED;;NULL;NULL;3;NULL;NULL;0;0;0;2020-10-11 18:00:35;2020-10-11 18:00:35
