52;HNF Nicolai;XD3;H;Ville;Y;N/A;N/A;N/A;;2019-2020;0;3884;0;actif;18-02-21 20:58;18-02-21 20:58
53;HNF Nicolai;XD3 speed;H;Speedpedelec;Y;Bosch, Performance Speed, 85 Nm;Bosch, PowerTube 625 Wh, Amovible;Rohloff Speedhub 500, E14;M,L;2019-2020;3330;4132;0;actif;04-03-21 11:44;04-03-21 11:44
54;HNF Nicolai;UD1 Unisex;F;Ville et chemin;Y;N/A;N/A;N/A;NULL;2019-2020;0;3305;0;actif;13-08-20 17:15;13-08-20 17:15
55;HNF Nicolai;UD1 Unisex;F;Speedpedelec;Y;N/A;N/A;N/A;NULL;2019-2020;NULL;3710;0;inactif;13-08-20 17:15;13-08-20 17:15
56;Douze Cycle;G4;M;Cargo;Y;N/A;N/A;N/A;unique;2019-2020;3000;468595;0;actif;08-02-22 09:44;08-02-22 09:44
61;Conway;Ets 480;F;Ville et chemin;Y;N/A;N/A;N/A;NULL;2019-2020;1629;2232;0;actif;13-08-20 17:15;13-08-20 17:15
62;Conway;Ets 370;F;Ville et chemin;Y;N/A;N/A;N/A;NULL;2019-2020;1572.96;2066;0;actif;13-08-20 17:15;13-08-20 17:15
63;Conway;Cairon T 200 SE 500;F;Ville et chemin;Y;Bosch, Performance, Génération 3, 63 Nm;Bosch,PowerPack 500Wh, Amovible;Shimano, Acera, 9 vitesses;M;2019-2020;1470.95;198347;0;actif;07-02-22 19:01;07-02-22 19:01
64;Conway;Cairon T 200 SE 500;H;Ville et chemin;Y;Bosch, Performance, Génération 3, 63 Nm;Bosch,PowerPack 500Wh, Amovible;Shimano, Acera, 9 vitesses;M;2019-2020;1470.95;198347;0;actif;17-02-21 20:04;17-02-21 20:04
65;Conway;Cairon T 200 SE 500;M;Ville et chemin;Y;Bosch, Performance, Génération 3, 63 Nm;Bosch, PowerPack 500 Wh, Amovible;Shimano, Acera, 9 vitesses;M;2019-2020;1470.95;198347;0;actif;17-02-21 20:04;17-02-21 20:04
66;Conway;Cairon T 400;H;Ville et chemin;Y;N/A;N/A;N/A;NULL;2019-2020;1794.4;2562;0;inactif;17-02-21 18:44;17-02-21 18:44
67;Conway;Cairon T 400;F;Ville et chemin;Y;N/A;N/A;N/A;NULL;2019-2020;1794.4;2562;0;inactif;17-02-21 18:44;17-02-21 18:44
68;Conway;Cairon T 400;M;Ville et chemin;Y;N/A;N/A;N/A;NULL;2019-2020;1794.4;2562;0;actif;25-08-20 10:58;25-08-20 10:58
69;Conway;Cairon T 500;H;Ville et chemin;Y;N/A;N/A;N/A;NULL;2019-2020;2025.6;289256;0;inactif;17-02-21 18:44;17-02-21 18:44
70;Conway;Cairon T 500;F;Ville et chemin;Y;N/A;N/A;N/A;NULL;2019-2020;2025.6;289256;0;inactif;17-02-21 18:44;17-02-21 18:44
71;Conway;Cairon T 500;M;Ville et chemin;Y;N/A;N/A;N/A;XS,S,M,L,XL;2019-2020;2025.6;289256;0;actif;16-04-21 10:49;16-04-21 10:49
72;Conway;Cairon T 600;H;Ville et chemin;Y;N/A;N/A;N/A;NULL;2019-2020;2257.6;322314;0;inactif;17-02-21 18:44;17-02-21 18:44
73;Conway;Cairon T 600;M;Ville et chemin;Y;N/A;N/A;N/A;NULL;2019-2020;2257.6;322314;0;inactif;17-02-21 18:44;17-02-21 18:44
74;Conway;Cairon T 600;F;Ville et chemin;Y;N/A;N/A;N/A;NULL;2019-2020;2257.6;322314;0;inactif;17-02-21 18:44;17-02-21 18:44
75;Conway;Cairon C 227 SE;H;Tout chemin;Y;N/A;N/A;N/A;NULL;2019-2020;1470.95;198347;0;inactif;17-02-21 18:44;17-02-21 18:44
76;Conway;Cairon C 227 SE;M;Tout chemin;Y;N/A;N/A;N/A;NULL;2019-2020;1470.95;198347;0;inactif;17-02-21 18:44;17-02-21 18:44
77;Conway;Cairon C 327;H;Tout chemin;Y;N/A;N/A;N/A;;2019-2020;1620.8;2314;0;actif;04-01-21 13:15;04-01-21 13:15
78;Conway;Cairon C 327;M;Tout chemin;Y;N/A;N/A;N/A;NULL;2019-2020;1620.8;2314;0;inactif;17-02-21 18:44;17-02-21 18:44
79;Conway;Cairon C 427;M;Tout chemin;Y;N/A;N/A;N/A;NULL;2019-2020;1736;247933;0;inactif;17-02-21 18:44;17-02-21 18:44
80;Conway;Cairon C 427;H;Tout chemin;Y;N/A;N/A;N/A;NULL;2019-2020;1736;247933;0;inactif;17-02-21 18:44;17-02-21 18:44
81;Conway;Cairon C 427;F;Tout chemin;Y;N/A;N/A;N/A;NULL;2019-2020;1736;247933;0;inactif;17-02-21 18:44;17-02-21 18:44
82;Conway;Cairon C 627;H;Tout chemin;Y;N/A;N/A;N/A;NULL;2019-2020;1852;264462;0;inactif;17-02-21 18:44;17-02-21 18:44
